node_count	min_steps	mean_steps	median_steps	max_steps	min_clique_size	mean_clique_size	median_clique_size	max_clique_size
5	4	5.12	5.0	6	2	2.67	3.0	3
6	5	7.24	7.0	11	2	2.99	3.0	5
7	6	9.31	9.0	14	2	3.16	3.0	5
8	8	12.03	12.0	20	2	3.41	3.0	6
9	9	14.48	15.0	24	2	3.4	3.0	5
10	11	17.5	17.0	27	2	3.69	4.0	6
11	12	20.69	20.0	33	3	3.7	3.0	6
12	13	23.42	22.0	43	2	3.79	4.0	7
13	15	26.54	27.0	48	3	3.81	4.0	5
14	17	30.21	29.0	51	3	3.94	4.0	6
15	17	35.42	33.0	67	2	4.1	4.0	8
16	21	37.18	37.0	62	2	4.02	4.0	6
17	24	41.85	40.0	72	3	4.07	4.0	7
18	27	45.94	46.0	74	3	4.03	4.0	6
19	25	50.39	49.0	98	3	4.16	4.0	7
20	30	54.03	51.0	86	3	4.07	4.0	6
21	35	57.95	57.0	93	3	4.17	4.0	6
22	29	62.43	60.5	108	3	4.1	4.0	6
23	38	68.27	64.0	133	3	4.23	4.0	7
24	37	71.6	69.5	123	3	4.18	4.0	6
25	40	75.04	72.5	151	3	4.18	4.0	7
26	43	77.8	75.0	141	3	4.12	4.0	6
27	43	85.86	83.0	144	3	4.29	4.0	6
28	49	88.88	82.0	214	3	4.19	4.0	7
29	46	93.63	88.5	187	3	4.18	4.0	7
30	52	97.09	96.0	153	3	4.11	4.0	5
31	51	102.65	97.0	215	3	4.25	4.0	7
32	56	107.97	106.0	212	3	4.25	4.0	6
33	65	113.01	109.0	194	3	4.19	4.0	6
34	70	118.48	113.0	251	3	4.19	4.0	6
35	60	123.21	119.0	243	3	4.24	4.0	6
36	75	123.0	117.0	205	3	4.14	4.0	6
37	74	128.13	122.0	244	3	4.18	4.0	6
38	72	138.47	133.0	254	3	4.19	4.0	6
39	73	133.93	129.5	244	3	4.09	4.0	6
40	75	139.53	131.5	245	3	4.12	4.0	6
41	85	151.59	149.0	256	3	4.16	4.0	5
42	84	149.0	145.0	234	3	4.07	4.0	5
43	95	169.97	154.0	357	3	4.32	4.0	6
44	96	159.11	155.0	363	3	4.04	4.0	6
45	92	170.68	161.5	332	3	4.22	4.0	6
46	96	172.32	165.5	305	3	4.01	4.0	6
47	94	179.31	172.5	288	3	4.08	4.0	6
48	104	186.28	181.0	395	3	4.15	4.0	6
49	117	196.65	187.0	295	3	4.23	4.0	6
50	125	199.67	191.0	330	3	4.18	4.0	6
51	121	196.14	186.0	320	3	4.13	4.0	6
52	112	203.62	198.5	349	3	4.11	4.0	6
53	112	208.33	205.0	481	3	4.09	4.0	6
54	129	212.15	203.5	397	3	4.07	4.0	5
55	139	224.58	222.0	381	3	4.17	4.0	6
56	132	222.22	218.5	345	3	4.07	4.0	5
57	145	238.87	227.0	525	3	4.15	4.0	7
58	142	234.0	225.5	433	3	4.08	4.0	6
59	146	246.58	235.5	431	3	4.15	4.0	5
60	157	256.88	237.0	623	3	4.19	4.0	6
61	152	256.48	256.5	518	3	4.08	4.0	6
62	163	262.02	252.5	479	3	4.16	4.0	5
63	169	269.2	249.5	521	3	4.18	4.0	6
64	188	271.79	263.5	383	3	4.18	4.0	6
65	145	280.02	274.5	475	3	4.12	4.0	6
66	160	288.0	279.0	459	3	4.11	4.0	5
67	180	295.14	286.0	480	3	4.13	4.0	5
68	169	301.63	287.5	641	3	4.07	4.0	6
69	173	300.65	292.0	496	3	4.14	4.0	5
70	165	295.0	283.0	586	3	4.02	4.0	5
71	148	311.49	305.5	512	3	4.0	4.0	5
72	187	320.06	305.0	588	3	4.12	4.0	6
73	177	323.72	313.0	562	3	4.12	4.0	6
74	193	323.13	318.0	588	3	4.06	4.0	5
75	202	343.82	324.5	572	3	4.11	4.0	5
76	199	337.91	328.5	588	3	4.1	4.0	5
77	237	341.41	326.0	567	3	4.04	4.0	5
78	206	349.93	332.5	711	3	4.09	4.0	6
79	185	345.07	341.5	555	3	4.05	4.0	5
80	209	362.67	352.5	588	3	4.14	4.0	6
81	231	369.71	352.0	817	3	4.13	4.0	6
82	226	379.32	364.5	635	3	4.17	4.0	5
83	235	363.46	350.5	599	3	3.96	4.0	5
84	244	387.11	374.0	712	3	4.04	4.0	5
85	238	385.78	369.0	706	3	4.05	4.0	5
86	247	421.71	402.0	753	3	4.09	4.0	5
87	230	393.32	376.0	628	3	4.04	4.0	5
88	248	393.98	376.5	710	3	4.02	4.0	5
89	288	411.77	391.0	861	3	4.08	4.0	5
90	259	408.45	388.0	712	3	3.97	4.0	5
91	260	436.56	418.0	994	3	4.07	4.0	6
92	233	441.93	431.5	705	3	4.07	4.0	5
93	282	441.12	429.5	797	3	4.04	4.0	5
94	279	442.93	428.5	777	3	4.06	4.0	6
95	277	457.25	443.5	906	3	4.03	4.0	5
96	265	445.76	431.0	890	3	3.99	4.0	5
97	267	453.26	441.5	738	3	3.95	4.0	5
98	263	492.36	469.5	980	3	4.06	4.0	5
99	281	461.61	448.5	773	3	4.03	4.0	5
